Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
D,MD15E,Mid-Dome,15,E,50,84,0.4458,,,,,22,,
D,MD16A,Mid-Dome,16,A,49,102,0.4389,,,,,4,,y
D,MD16B,Mid-Dome,16,B,61,123,0.6253,,,,,3,,y
D,MD16C,Mid-Dome,16,C,54,108,0.5625,,,,,2,,y
D,MD16D,Mid-Dome,16,D,47,75,0.3253,,,,,5,,y
D,MD16E,Mid-Dome,16,E,46,82,0.3323,,,,,5,,y
E,MD17A,Mid-Dome,17,A,,,,,,,,,Not selected,
E,MD17B,Mid-Dome,17,B,,,,,,,,,Not selected,
E,MD17C,Mid-Dome,17,C,,,,,,,,,Not selected,
E,MD17D,Mid-Dome,17,D,,,,,,,,,Not selected,
E,MD17E,Mid-Dome,17,E,,,,,,,,,Not selected,
E,MD18A,Mid-Dome,18,A,,,,,,,,,Not selected,
E,MD18B,Mid-Dome,18,B,,,,,,,,,Not selected,
E,MD18C,Mid-Dome,18,C,,,,,,,,,Not selected,
E,MD18D,Mid-Dome,18,D,,,,,,,,,Not selected,
E,MD18E,Mid-Dome,18,E,,,,,,,,,Not selected,
F,MD19A,Mid-Dome,19,A,53,57,0.5563,,,,,28,,
F,MD19B,Mid-Dome,19,B,48,96,0.3978,,,,,14,,
F,MD19C,Mid-Dome,19,C,49,85,0.532,,,,,29,,
F,MD19D,Mid-Dome,19,D,48,89,0.4652,,,,,24,,
F,MD19E,Mid-Dome,19,E,53,106,0.5145,,,,,41,,
F,MD20A,Mid-Dome,20,A,52,100,0.4312,,,,,12,,y
F,MD20B,Mid-Dome,20,B,52,87,0.4407,,,,,10,,y
F,MD20C,Mid-Dome,20,C,44,79,0.281,,,,,8,,y
F,MD20D,Mid-Dome,20,D,46,82,0.3462,,,,,16,,y
F,MD20E,Mid-Dome,20,E,42,80,0.286,,,,,16,,y
F,MD21A,Mid-Dome,21,A,38,82,0.3546,,,,,6,,
F,MD21B,Mid-Dome,21,B,38,85,0.3653,,,,,8,,
F,MD21C,Mid-Dome,21,C,43,89,0.4006,,,,,6,,
F,MD21D,Mid-Dome,21,D,41,86,0.3796,,,,,15,,
F,MD21E,Mid-Dome,21,E,36,78,0.2886,,,,,9,,
F,MD22A,Mid-Dome,22,A,,,,,,,,,Not selected,
F,MD22B,Mid-Dome,22,B,,,,,,,,,Not selected,
F,MD22C,Mid-Dome,22,C,,,,,,,,,Not selected,
F,MD22D,Mid-Dome,22,D,,,,,,,,,Not selected,
F,MD22E,Mid-Dome,22,E,,,,,,,,,Not selected,
F,MD23A,Mid-Dome,23,A,57,115,0.5046,,,,,11,,
F,MD23B,Mid-Dome,23,B,48,97,0.3503,,,,,9,,
F,MD23C,Mid-Dome,23,C,45,98,0.4305,,,,,8,,
F,MD23D,Mid-Dome,23,D,56,113,0.554,,,,,7,,
F,MD23E,Mid-Dome,23,E,43,76,0.3249,,,,,8,,
F,MD24A,Mid-Dome,24,A,37,68,0.2011,,,,,4,,
F,MD24B,Mid-Dome,24,B,36,69,0.2033,,,,,7,,
F,MD24C,Mid-Dome,24,C,39,56,0.1749,,,,,5,,
F,MD24D,Mid-Dome,24,D,38,74,0.2082,,,,,8,,
F,MD24E,Mid-Dome,24,E,40,84,0.2181,,,,,6,,
A,FH1A,Flockhill,1,A,46,83,0.3972,,,,,11,,
A,FH1B,Flockhill,1,B,47,75,0.4038,,,,,6,,
A,FH1C,Flockhill,1,C,40,79,0.3563,,,,,13,,
A,FH1D,Flockhill,1,D,51,92,0.427,,,,,47,,
A,FH1E,Flockhill,1,E,46,67,0.369,,,,,21,,
A,FH2A,Flockhill,2,A,36,28,0.0986,,,,,32,,
A,FH2B,Flockhill,2,B,45,69,0.4484,,,,,26,,
A,FH2C,Flockhill,2,C,41,37,0.214,,,,,51,,y
A,FH2D,Flockhill,2,D,38,27,0.1083,,,,,51,,y
A,FH2E,Flockhill,2,E,41,38,0.1606,,,,,32,,
A,FH3A,Flockhill,3,A,44,56,0.2119,,,,,28,,
A,FH3B,Flockhill,3,B,40,59,0.2281,,,,,36,,
A,FH3C,Flockhill,3,C,46,56,0.3084,,,,,41,,
A,FH3D,Flockhill,3,D,36,20,0.0912,,,,,58,,
A,FH3E,Flockhill,3,E,40,45,0.1726,,,,,49,,
A,FH4A,Flockhill,4,A,55,43,0.4629,,,,,51,,
A,FH4B,Flockhill,4,B,52,55,0.2562,,,,,50,,
A,FH4C,Flockhill,4,C,58,48,0.2672,,,,,59,,
A,FH4D,Flockhill,4,D,54,57,0.2509,,,,,47,,
A,FH4E,Flockhill,4,E,49,59,0.2566,,,,,46,,
B,FH5A,Flockhill,5,A,38,69,0.2718,,,,,16,,
B,FH5B,Flockhill,5,B,39,72,0.3552,,,,,17,,
B,FH5C,Flockhill,5,C,51,16,0.0916,,,,,70,55 immature seed are half mature,y
B,FH5D,Flockhill,5,D,44,77,0.3965,,,,,15,,
B,FH5E,Flockhill,5,E,50,45,0.2916,,,,,74,,
B,FH6A,Flockhill,6,A,33,13,0.0677,,,,,54,,
B,FH6B,Flockhill,6,B,35,16,0.0808,,,,,58,,
B,FH6C,Flockhill,6,C,35,17,0.0827,,,,,76,,
B,FH6D,Flockhill,6,D,35,14,0.0652,,,,,68,,
B,FH6E,Flockhill,6,E,30,6,0.0326,,,,,35,,
B,FH7A,Flockhill,7,A,,,,,,,,,Not selected,
B,FH7B,Flockhill,7,B,,,,,,,,,Not selected,
B,FH7C,Flockhill,7,C,,,,,,,,,Not selected,
B,FH7D,Flockhill,7,D,,,,,,,,,Not selected,
B,FH7E,Flockhill,7,E,,,,,,,,,Not selected,
B,FH8A,Flockhill,8,A,,,,,,,,,Not selected,
B,FH8B,Flockhill,8,B,,,,,,,,,Not selected,
B,FH8C,Flockhill,8,C,,,,,,,,,Not selected,
B,FH8D,Flockhill,8,D,,,,,,,,,Not selected,
B,FH8E,Flockhill,8,E,,,,,,,,,Not selected,
C,FH9A,Flockhill,9,A,38,16,0.0968,,,,,64,,
C,FH9B,Flockhill,9,B,31,5,0.0277,,,,,54,,
C,FH9C,Flockhill,9,C,40,14,0.0973,,,,,78,,
C,FH9D,Flockhill,9,D,35,12,0.0636,,,,,49,,
C,FH9E,Flockhill,9,E,36,11,0.0667,,,,,69,,
C,FH10A,Flockhill,10,A,,,,,,,,,Not selected,
C,FH10B,Flockhill,10,B,,,,,,,,,Not selected,
C,FH10C,Flockhill,10,C,,,,,,,,,Not selected,
C,FH10D,Flockhill,10,D,,,,,,,,,Not selected,
C,FH10E,Flockhill,10,E,,,,,,,,,Not selected,
C,FH11A,Flockhill,11,A,42,48,0.1675,,,,,30,,
C,FH11B,Flockhill,11,B,45,40,0.1543,,,,,34,,
C,FH11C,Flockhill,11,C,38,34,0.1117,,,,,31,,
C,FH11D,Flockhill,11,D,44,44,0.1816,,,,,46,,
C,FH11E,Flockhill,11,E,45,50,0.1791,,,,,33,,
C,FH12A,Flockhill,12,A,40,36,0.1639,,,,,16,,
C,FH12B,Flockhill,12,B,46,69,0.3915,,,,,10,,
C,FH12C,Flockhill,12,C,48,74,0.4004,,,,,19,,
C,FH12D,Flockhill,12,D,41,43,0.2242,,,,,22,,
C,FH12E,Flockhill,12,E,42,57,0.294,,,,,24,,
D,FH13A,Flockhill,13,A,,,,,,,,,Not selected,
D,FH13B,Flockhill,13,B,,,,,,,,,Not selected,
D,FH13C,Flockhill,13,C,,,,,,,,,Not selected,
D,FH13D,Flockhill,13,D,,,,,,,,,Not selected,
D,FH13E,Flockhill,13,E,,,,,,,,,Not selected,
D,CH1A,Castle Hill,1,A,53,37,0.178,,,,,66,,
D,CH1B,Castle Hill,1,B,49,33,0.192,,,,,39,,
D,CH1C,Castle Hill,1,C,43,32,0.1224,,,,,39,,
D,CH1D,Castle Hill,1,D,48,25,0.1126,,,,,43,,
D,CH1E,Castle Hill,1,E,40,11,0.038,,,,,22,,
D,CH2A,Castle Hill,2,A,43,21,0.0812,,,,,88,,
D,CH2B,Castle Hill,2,B,40,16,0.056,,,,,75,,
D,CH2C,Castle Hill,2,C,42,13,0.0574,,,,,106,,y
D,CH2D,Castle Hill,2,D,43,33,0.1494,,,,,51,,
D,CH2E,Castle Hill,2,E,44,22,0.0835,,,,,83,,
D,CH3A,Castle Hill,3,A,42,8,0.0316,,,,,,"lots of tiny immature seed, mostly just wings - not counted",y
D,CH3B,Castle Hill,3,B,42,5,0.0219,,,,,,"lots of tiny immature seed, mostly just wings - not counted",
D,CH3C,Castle Hill,3,C,36,12,0.0492,,,,,,"many tiny immature seed, mostly just wings - not counted",
D,CH3D,Castle Hill,3,D,40,3,0.0071,,,,,,"many tiny immature seed, mostly just wings - not counted",
D,CH3E,Castle Hill,3,E,38,5,0.0223,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH4A,Castle Hill,4,A,35,6,0.0174,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH4B,Castle Hill,4,B,39,6,0.0241,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH4C,Castle Hill,4,C,42,3,0.019,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH4D,Castle Hill,4,D,40,4,0.0166,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH4E,Castle Hill,4,E,43,4,0.0265,,,,,,"many tiny immature seed, mostly just wings - not counted",y
E,CH5A,Castle Hill,5,A,39,14,0.0619,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH5B,Castle Hill,5,B,35,11,0.0568,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH5C,Castle Hill,5,C,39,13,0.063,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH5D,Castle Hill,5,D,36,15,0.0744,,,,,,"many tiny immature seed, mostly just wings - not counted",
E,CH5E,Castle Hill,5,E,41,34,0.1792,,,,,24,,y
E,CH6A,Castle Hill,6,A,42,14,0.076,,,,,32,,y
E,CH6B,Castle Hill,6,B,41,53,0.2017,,,,,24,,
E,CH6C,Castle Hill,6,C,41,23,0.1211,,,,,32,,
E,CH6D,Castle Hill,6,D,42,17,0.0857,,,,,24,,
E,CH6E,Castle Hill,6,E,43,13,0.0674,,,,,57,,
E,CH7A,Castle Hill,7,A,44,8,0.0645,,,,,112,,
E,CH7B,Castle Hill,7,B,41,1,0.0097,,,,,124,,y
E,CH7C,Castle Hill,7,C,42,3,0.0168,,,,,101,,
E,CH7D,Castle Hill,7,D,46,7,0.0583,,,,,125,,
E,CH7E,Castle Hill,7,E,41,4,0.031,,,,,94,,
F,CH8A,Castle Hill,8,A,39,6,0.0363,,,,,,"lots of tiny immature seed, mostly just wings - not counted",y
F,CH8B,Castle Hill,8,B,40,7,0.036,,,,,,"lots of tiny immature seed, mostly just wings - not counted",
F,CH8C,Castle Hill,8,C,43,8,0.0371,,,,,,"lots of tiny immature seed, mostly just wings - not counted",y
F,CH8D,Castle Hill,8,D,39,9,0.047,,,,,,"lots of tiny immature seed, mostly just wings - not counted",
F,CH8E,Castle Hill,8,E,43,12,0.0653,,,,,,"lots of tiny immature seed, mostly just wings - not counted",
A,K1A,Kawekas,1,A,43,0,0,,,,,,,
A,K1B,Kawekas,1,B,48,101,0.5097,,,,,3,Immature seed tiny plus a few wings only,
A,K1C,Kawekas,1,C,42,0,0,,,,,,,y
A,K1D,Kawekas,1,D,40,16,0.0318,14,0.025,2,0.0063,,small seeds with missing wings,y
A,K1E,Kawekas,1,E,32,11,0.026,,,,,3,small seeds with 2 missing wings - rotten cone?,y
A,K2A,Kawekas,2,A,46,102,0.6039,,,,,9,Immature seed tiny plus a few wings only,
A,K2B,Kawekas,2,B,42,1,,,,,,,1 seed with half a wing - not weighed,
A,K2C,Kawekas,2,C,47,91,0.491,,,,,5,Immature seed tiny plus a few wings only,
A,K2D,Kawekas,2,D,42,104,0.6118,,,,,4,Immature seed tiny plus a few wings only,
A,K2E,Kawekas,2,E,41,84,0.3742,,,,,4,Immature seed tiny plus a few wings only,
A,K3A,Kawekas,3,A,,,,,,,,,Not selected,
A,K3B,Kawekas,3,B,,,,,,,,,Not selected,
A,K3C,Kawekas,3,C,,,,,,,,,Not selected,
A,K3D,Kawekas,3,D,,,,,,,,,Not selected,
A,K3E,Kawekas,3,E,,,,,,,,,Not selected,
A,K4A,Kawekas,4,A,,,,,,,,,Not selected,
A,K4B,Kawekas,4,B,,,,,,,,,Not selected,
A,K4C,Kawekas,4,C,,,,,,,,,Not selected,
A,K4D,Kawekas,4,D,,,,,,,,,Not selected,
A,K4E,Kawekas,4,E,,,,,,,,,Not selected,
B,K5A,Kawekas,5,A,39,62,0.1869,,,,,2,"Only partially open, prised open to get small seed",y
B,K5B,Kawekas,5,B,38,70,0.2155,,,,,3,"Only partially open, prised open to get small seed",y
B,K5C,Kawekas,5,C,44,85,0.3304,,,,,2,"Only partially open, prised open to get small seed - very mouldy cone",y
B,K5D,Kawekas,5,D,37,3,0.0102,2,,1,,,2 seed don’t have wings,
B,K5E,Kawekas,5,E,39,19,0.0499,,,,,,wings stuck to scales - prised off,
B,K6A,Kawekas,6,A,41,0,0,,,,,,,
B,K6B,Kawekas,6,B,51,0,0,,,,,,,
